epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.06,2.08682,3.64738,2.02611,0.02045,0.32782,0.12724,0.05639,1.85088,3.71252,1.95799,1.111e-05,1.111e-05,1.111e-05
2,19.6959,2.07771,3.65685,1.91332,0.02774,0.33599,0.15002,0.06752,1.7848,3.70872,1.88928,3.26701e-05,3.26701e-05,3.26701e-05
3,29.5467,1.97421,3.64169,1.88746,0.03675,0.31478,0.16453,0.07531,1.71676,3.71524,1.82626,5.33502e-05,5.33502e-05,5.33502e-05
4,39.9929,1.81069,3.55734,1.77128,0.04697,0.33188,0.17666,0.08367,1.68089,3.71496,1.78765,7.31505e-05,7.31505e-05,7.31505e-05
5,50.1611,1.75217,3.45543,1.72891,0.05261,0.33597,0.17943,0.08471,1.61373,3.70373,1.73431,9.20708e-05,9.20708e-05,9.20708e-05
6,60.3464,1.67859,3.35902,1.65305,0.04764,0.32652,0.17376,0.08368,1.55819,3.68695,1.69579,0.000110111,0.000110111,0.000110111
7,71.0888,1.65953,3.14591,1.58177,0.04321,0.33193,0.17908,0.07892,1.5717,3.65022,1.68593,0.000127272,0.000127272,0.000127272
8,81.339,1.72382,2.89402,1.65574,0.04005,0.33993,0.1756,0.08171,1.56326,3.59237,1.63885,0.000143552,0.000143552,0.000143552
9,91.0545,1.56302,2.5783,1.56317,0.04184,0.3492,0.18059,0.08458,1.54143,3.55419,1.61425,0.000158953,0.000158953,0.000158953
10,100.964,1.7188,2.53776,1.72806,0.04445,0.35475,0.18847,0.09473,1.49617,3.52017,1.57248,0.000173474,0.000173474,0.000173474
11,110.795,1.62616,2.27597,1.59331,0.04676,0.36012,0.18718,0.09997,1.46515,3.4859,1.54318,0.000187115,0.000187115,0.000187115
12,120.832,1.61041,2.21045,1.54256,0.05319,0.40473,0.21008,0.1157,1.46836,3.43943,1.53114,0.000199876,0.000199876,0.000199876
13,131.22,1.63349,2.18254,1.58934,0.0607,0.45212,0.25545,0.13723,1.47897,3.39412,1.52565,0.000211757,0.000211757,0.000211757
14,140.61,1.5122,2.21066,1.59673,0.06709,0.45918,0.28531,0.1479,1.47967,3.35598,1.52119,0.000222758,0.000222758,0.000222758
15,149.429,1.44544,1.98087,1.49945,0.07776,0.48678,0.3026,0.1603,1.46453,3.33056,1.50692,0.000232879,0.000232879,0.000232879
16,158.669,1.48828,1.9353,1.51026,0.09312,0.50166,0.33889,0.17572,1.45745,3.30902,1.4973,0.00024212,0.00024212,0.00024212
17,167.706,1.53723,1.90027,1.53545,0.09795,0.48458,0.3453,0.18021,1.45771,3.28999,1.50093,0.000250482,0.000250482,0.000250482
18,176.8,1.51168,1.82368,1.5475,0.0964,0.48717,0.33995,0.17699,1.46956,3.24933,1.50442,0.000257963,0.000257963,0.000257963
19,185.656,1.5179,1.79714,1.53956,0.0979,0.50053,0.35159,0.1813,1.4677,3.21065,1.51748,0.000264565,0.000264565,0.000264565
20,194.77,1.45329,1.70019,1.47165,0.09547,0.52224,0.3737,0.18843,1.48246,3.14106,1.55481,0.000270286,0.000270286,0.000270286
21,203.741,1.45635,1.54203,1.49298,0.98376,0.13803,0.38371,0.20195,1.48158,3.05309,1.57409,0.000275128,0.000275128,0.000275128
22,212.899,1.53468,1.55784,1.52717,0.98588,0.16057,0.38219,0.20519,1.49616,2.93547,1.57854,0.00027909,0.00027909,0.00027909
23,222.058,1.4655,1.47632,1.46993,0.98267,0.17282,0.39441,0.21246,1.49039,2.8059,1.57894,0.000282172,0.000282172,0.000282172
24,230.988,1.5187,1.66413,1.55013,0.98065,0.17907,0.40317,0.21404,1.51103,2.7268,1.59593,0.000284374,0.000284374,0.000284374
25,240.105,1.42533,1.6047,1.48786,0.97488,0.19683,0.41371,0.21485,1.53023,2.66235,1.61498,0.000285696,0.000285696,0.000285696
26,249.215,1.42968,1.57042,1.47917,0.97628,0.20339,0.42767,0.22199,1.54152,2.60817,1.63229,0.000286138,0.000286138,0.000286138
27,258.323,1.41617,1.4631,1.41036,0.97444,0.20123,0.4338,0.23204,1.54647,2.53596,1.63549,0.0002857,0.0002857,0.0002857
28,267.686,1.37229,1.44442,1.42039,0.97444,0.20123,0.4338,0.23204,1.54647,2.53596,1.63549,0.000284383,0.000284383,0.000284383
29,276.708,1.35301,1.51184,1.47269,0.97065,0.20584,0.44696,0.24052,1.53398,2.48524,1.60064,0.000282185,0.000282185,0.000282185
30,285.911,1.34372,1.44387,1.4199,0.9708,0.21307,0.45434,0.24999,1.51872,2.41098,1.56385,0.000279108,0.000279108,0.000279108
31,294.971,1.42438,1.42093,1.44888,0.9708,0.21307,0.45434,0.24999,1.51872,2.41098,1.56385,0.00027515,0.00027515,0.00027515
32,305.192,1.44482,1.40993,1.45247,0.90457,0.22871,0.46052,0.24364,1.56017,2.32781,1.58613,0.000270313,0.000270313,0.000270313
33,314.489,1.3813,1.32468,1.40858,0.91714,0.24279,0.47662,0.24728,1.58831,2.28791,1.61034,0.000264596,0.000264596,0.000264596
